bell_state,visibility,shots,seed,s_sim,s_theory,error
phi_plus,0.0000000000,5000,2684470948,-0.0184000000,0.0000000000,-0.0184000000
phi_plus,0.0100000000,5000,4091952314,0.0156000000,0.0282842712,-0.0126842712
phi_plus,0.0200000000,5000,233227757,0.0060000000,0.0565685425,-0.0505685425
phi_plus,0.0300000000,5000,3276785861,0.0436000000,0.0848528137,-0.0412528137
phi_plus,0.0400000000,5000,3644269654,0.1012000000,0.1131370850,-0.0119370850
phi_plus,0.0500000000,5000,1206282609,0.1328000000,0.1414213562,-0.0086213562
phi_plus,0.0600000000,5000,3543069911,0.1348000000,0.1697056275,-0.0349056275
phi_plus,0.0700000000,5000,3479688010,0.1764000000,0.1979898987,-0.0215898987
phi_plus,0.0800000000,5000,877132087,0.1876000000,0.2262741700,-0.0386741700
phi_plus,0.0900000000,5000,1244265337,0.2552000000,0.2545584412,0.0006415588
phi_plus,0.1000000000,5000,2740186692,0.2952000000,0.2828427125,0.0123572875
phi_plus,0.1100000000,5000,3884972972,0.3456000000,0.3111269837,0.0344730163
phi_plus,0.1200000000,5000,829139639,0.3168000000,0.3394112550,-0.0226112550
phi_plus,0.1300000000,5000,2545567356,0.3392000000,0.3676955262,-0.0284955262
phi_plus,0.1400000000,5000,2718398101,0.3740000000,0.3959797975,-0.0219797975
phi_plus,0.1500000000,5000,176092387,0.4752000000,0.4242640687,0.0509359313
phi_plus,0.1600000000,5000,3528048386,0.4300000000,0.4525483400,-0.0225483400
phi_plus,0.1700000000,5000,569531098,0.5032000000,0.4808326112,0.0223673888
phi_plus,0.1800000000,5000,1337295874,0.5288000000,0.5091168825,0.0196831175
phi_plus,0.1900000000,5000,612016888,0.5308000000,0.5374011537,-0.0066011537
phi_plus,0.2000000000,5000,232150720,0.5792000000,0.5656854249,0.0135145751
phi_plus,0.2100000000,5000,2324106676,0.5708000000,0.5939696962,-0.0231696962
phi_plus,0.2200000000,5000,1658700540,0.6016000000,0.6222539674,-0.0206539674
phi_plus,0.2300000000,5000,609942288,0.5988000000,0.6505382387,-0.0517382387
phi_plus,0.2400000000,5000,3405943863,0.6444000000,0.6788225099,-0.0344225099
phi_plus,0.2500000000,5000,2257503667,0.7176000000,0.7071067812,0.0104932188
phi_plus,0.2600000000,5000,4018327298,0.7512000000,0.7353910524,0.0158089476
phi_plus,0.2700000000,5000,2224437599,0.7260000000,0.7636753237,-0.0376753237
phi_plus,0.2800000000,5000,168388230,0.7516000000,0.7919595949,-0.0403595949
phi_plus,0.2900000000,5000,911875363,0.7924000000,0.8202438662,-0.0278438662
phi_plus,0.3000000000,5000,3699796293,0.8488000000,0.8485281374,0.0002718626
phi_plus,0.3100000000,5000,3195154224,0.8656000000,0.8768124087,-0.0112124087
phi_plus,0.3200000000,5000,3621210587,0.9076000000,0.9050966799,0.0025033201
phi_plus,0.3300000000,5000,1945778437,0.9088000000,0.9333809512,-0.0245809512
phi_plus,0.3400000000,5000,2384190687,0.9936000000,0.9616652224,0.0319347776
phi_plus,0.3500000000,5000,3249086786,1.0104000000,0.9899494937,0.0204505063
phi_plus,0.3600000000,5000,439485575,1.0092000000,1.0182337649,-0.0090337649
phi_plus,0.3700000000,5000,2217192537,1.0248000000,1.0465180362,-0.0217180362
phi_plus,0.3800000000,5000,3412522237,1.0604000000,1.0748023074,-0.0144023074
phi_plus,0.3900000000,5000,555567425,1.1292000000,1.1030865787,0.0261134213
phi_plus,0.4000000000,5000,3399977417,1.1112000000,1.1313708499,-0.0201708499
phi_plus,0.4100000000,5000,2903099886,1.1624000000,1.1596551211,0.0027448789
phi_plus,0.4200000000,5000,151712926,1.2032000000,1.1879393924,0.0152606076
phi_plus,0.4300000000,5000,1207582415,1.2464000000,1.2162236636,0.0301763364
phi_plus,0.4400000000,5000,2486821540,1.2400000000,1.2445079349,-0.0045079349
phi_plus,0.4500000000,5000,1259821421,1.2852000000,1.2727922061,0.0124077939
phi_plus,0.4600000000,5000,597594931,1.2880000000,1.3010764774,-0.0130764774
phi_plus,0.4700000000,5000,2865206418,1.3136000000,1.3293607486,-0.0157607486
phi_plus,0.4800000000,5000,3003750881,1.3348000000,1.3576450199,-0.0228450199
phi_plus,0.4900000000,5000,3312495928,1.3740000000,1.3859292911,-0.0119292911
phi_plus,0.5000000000,5000,3078168926,1.4260000000,1.4142135624,0.0117864376
phi_plus,0.5100000000,5000,1005097259,1.4620000000,1.4424978336,0.0195021664
phi_plus,0.5200000000,5000,1646080115,1.4884000000,1.4707821049,0.0176178951
phi_plus,0.5300000000,5000,2175304393,1.4908000000,1.4990663761,-0.0082663761
phi_plus,0.5400000000,5000,3907648593,1.5408000000,1.5273506474,0.0134493526
phi_plus,0.5500000000,5000,1971688097,1.5632000000,1.5556349186,0.0075650814
phi_plus,0.5600000000,5000,268300483,1.5564000000,1.5839191899,-0.0275191899
phi_plus,0.5700000000,5000,3139098279,1.5928000000,1.6122034611,-0.0194034611
phi_plus,0.5800000000,5000,3174456534,1.6244000000,1.6404877324,-0.0160877324
phi_plus,0.5900000000,5000,997026310,1.6652000000,1.6687720036,-0.0035720036
phi_plus,0.6000000000,5000,4280428995,1.6780000000,1.6970562748,-0.0190562748
phi_plus,0.6100000000,5000,345698675,1.6856000000,1.7253405461,-0.0397405461
phi_plus,0.6200000000,5000,2296661869,1.7244000000,1.7536248173,-0.0292248173
phi_plus,0.6300000000,5000,1808063307,1.7848000000,1.7819090886,0.0028909114
phi_plus,0.6400000000,5000,3884888703,1.7760000000,1.8101933598,-0.0341933598
phi_plus,0.6500000000,5000,2494461129,1.8472000000,1.8384776311,0.0087223689
phi_plus,0.6600000000,5000,3862701690,1.8604000000,1.8667619023,-0.0063619023
phi_plus,0.6700000000,5000,1989052338,1.8752000000,1.8950461736,-0.0198461736
phi_plus,0.6800000000,5000,2910179760,1.9376000000,1.9233304448,0.0142695552
phi_plus,0.6900000000,5000,1983180500,1.9492000000,1.9516147161,-0.0024147161
phi_plus,0.7000000000,5000,2796940620,1.9804000000,1.9798989873,0.0005010127
phi_plus,0.7100000000,5000,2835193311,1.9976000000,2.0081832586,-0.0105832586
phi_plus,0.7200000000,5000,1671370085,2.0300000000,2.0364675298,-0.0064675298
phi_plus,0.7300000000,5000,3953588250,2.0964000000,2.0647518011,0.0316481989
phi_plus,0.7400000000,5000,358542842,2.0996000000,2.0930360723,0.0065639277
phi_plus,0.7500000000,5000,3497188667,2.1172000000,2.1213203436,-0.0041203436
phi_plus,0.7600000000,5000,253549709,2.1928000000,2.1496046148,0.0431953852
phi_plus,0.7700000000,5000,1953331372,2.1808000000,2.1778888861,0.0029111139
phi_plus,0.7800000000,5000,890775398,2.2300000000,2.2061731573,0.0238268427
phi_plus,0.7900000000,5000,642810498,2.2348000000,2.2344574285,0.0003425715
phi_plus,0.8000000000,5000,1233062494,2.2168000000,2.2627416998,-0.0459416998
phi_plus,0.8100000000,5000,908446902,2.2924000000,2.2910259710,0.0013740290
phi_plus,0.8200000000,5000,3109591194,2.3432000000,2.3193102423,0.0238897577
phi_plus,0.8300000000,5000,2446198906,2.2956000000,2.3475945135,-0.0519945135
phi_plus,0.8400000000,5000,3358664237,2.3868000000,2.3758787848,0.0109212152
phi_plus,0.8500000000,5000,896344283,2.4156000000,2.4041630560,0.0114369440
phi_plus,0.8600000000,5000,1869944201,2.4032000000,2.4324473273,-0.0292473273
phi_plus,0.8700000000,5000,3190319407,2.4788000000,2.4607315985,0.0180684015
phi_plus,0.8800000000,5000,987968938,2.4780000000,2.4890158698,-0.0110158698
phi_plus,0.8900000000,5000,48960437,2.5032000000,2.5173001410,-0.0141001410
phi_plus,0.9000000000,5000,2405484524,2.5268000000,2.5455844123,-0.0187844123
phi_plus,0.9100000000,5000,3763400334,2.5832000000,2.5738686835,0.0093313165
phi_plus,0.9200000000,5000,4209925572,2.5756000000,2.6021529548,-0.0265529548
phi_plus,0.9300000000,5000,4172993659,2.6272000000,2.6304372260,-0.0032372260
phi_plus,0.9400000000,5000,2147595062,2.6464000000,2.6587214973,-0.0123214973
phi_plus,0.9500000000,5000,3425188374,2.7064000000,2.6870057685,0.0193942315
phi_plus,0.9600000000,5000,3309235867,2.7076000000,2.7152900398,-0.0076900398
phi_plus,0.9700000000,5000,3869940862,2.7568000000,2.7435743110,0.0132256890
phi_plus,0.9800000000,5000,3445858407,2.7532000000,2.7718585823,-0.0186585823
phi_plus,0.9900000000,5000,683688611,2.8336000000,2.8001428535,0.0334571465
phi_plus,1.0000000000,5000,3671515462,2.7972000000,2.8284271247,-0.0312271247
